Sample Semester Number - Exceptional Chile Ed Major,Class #,TODO/Note,Elementary Ed Major Req.,Exceptional Child Ed Major Req.,Art Minor Req.,Gen Ed Req.,,Class Name,Hours,PreReqs,MOTR Equiv.,Description
3,MA228,-,Pro Edu - Elm - MA228,Pro Edu - Exp - MA228,?,?,,Geometry for Educators,4,Prerequisite: MA 128 with a minimum grade of C. (4).,X,"Euclidean geometry - demonstrative, coordinate, transformational; intuitive relationships, constructions, properties of lines, polygons, circles, three-dimensional figures, and two-dimensional non-Euclidean geometry."
3,PH218,YES I CAN DO THIS - Need 7 but have many more - BOTH - BS218/118 Biological Science: A Process Approach* (MOTR) - PH218 Physical Science: A Process Approach* (MOTR) - Says I can do this: https://semo.edu/about/accreditation/general-education/,Additional - PH218,Additional Req - PH218,?,Gen Ed - Natural Sciences B (Lab req),,Physical Science: A Process Approach,3,Prerequisite: BS 118.,MOTR PHYS 110L.,"Major topics include atomic structure, elements and compounds, chemical reactions and energy concepts of heat, light, sound, electricity and magnetism. Does not count on a major or minor. Two lectures and two hour lab"
3,PS103,-,Additional - PS103,Additional Req - PS103,?,Gen Ed - Civics,,US Political Systems,3,X,MOTR POSC 101.,"Institutions and processes of national and state government, including an analysis of the Missouri Constitution"
4,CF124,-,X,Pro Edu - Exp - CF124,?,X,,Health/Nutrition/Safety Child,3,X,X,"Children's wellness through child development: Health, nutrition, and safety utilizing principles of optimal practice in quality care and education environments. (3)."
4,CF233,-,Pro Edu - Elm - CF233,Pro Edu - Exp - CF233,?,Gen Ed - Humanities and Fine Arts A,,Creative Thought & Expression in Children,3,X,X,"Development of creative expression in children. Theoretical foundations of aesthetics; exploration of integrated arts, music, movement, drama, nature, visual arts. (3)."
4,CF285,-,X,Pro Edu - Elm - CF285,?,X,,Learning Theory and Application: Infants and Toddlers.,3,Prerequisite: CF/PY 120,X,Planning and implementing developmentally appropriate care and education experiences for infants and toddlers. Supervised laboratory.
4,EX311,-,X,Pro Edu - Exp - EX311,?,X,,Introduction to Children with Exceptionalities,3,Prerequisite: Exceptional Child Education major.,X,Characteristics/psychology/education of children with exceptionalities including an overview of cross-categorical special education.
4,LI243,-,Pro Edu - Elm - LI243,Pro Edu - Exp - LI243,?,Gen Ed - Humanities and Fine Arts B,,Childrens Literature,3,Pre- or Corequisite: EN 100. Prerequisites: CF/PY120; minimum grade of C on prerequisites,X,"A study of the varieties of literature written for children with emphasis on critical examination, evaluation and selection."
4,UI308,"WHAT IS THIS PREREQ? & IF NEED GEN ED SLOT FOR SOME REASON, CAN PROBABLY REMOVE ENITRELY BUT NEED TO CHECK - BY USING THE EXTRA CREDITS FROM PREV SEcTIONS ESPECIALLY NATURAL SCI WEIRDNESS WITH THE BS & PH CLASS EXTRA BUT WILL THINGS BREAK IF ABBY GETS OUT OF US105 FROM HS TRANSFER? I Dont think it should be a problem but need to call and check, If this doesnt work, just re-alocate some other double-counts like LI243 for Fine Arts since will probably have extra art courses anyway for Art Major/Minor, WORST CASE CAN PROBABLY ABLE TO REMOVE B - TODO!",Additional - UI308,Additional Req - UI308,?,Gen Ed - Additional - 1+3+3/5 hours,,Physical & Cultural Landscapes,3,Prerequisites: Physical Systems; Social Systems; Economic Systems. (3).,X,"A geographical analysis of world landscapes utilizing physical, cultural and economical concepts to illustrate complex interrelationships existing between various regions. One two-hour lecture; one two-hour laboratory."
5,EL300,-,Pro Edu - Elm - EL300,Pro Edu - Exp - EL300,?,X,,Instructional and Assistive Technology in a Universally Designed Learning Environment,3,Prerequisite: Admission to Teacher Education Program.,X,Designed for teacher candidates to investigate and implement the effective integration of technology into the P-12 curriculum.
5,EL314,-,Pro Edu - Elm - EL314,Pro Edu - Exp - EL314,?,X,,Literacy Field Experience,3,Corequisites: EL 316; EL 317. Prerequisites: CF 120 or PY 120; ED 280; EL 274; LI 243; MA 128; Admission to Teacher Education program,X,Field experience for the implementation of Literacy courses concepts.
5,EL316,-,Pro Edu - Elm - EL316,Pro Edu - Exp - EL316,?,X,,Emergent and Early Literacy Instruction,3,Corequisites: EL 314; EL 317. Prerequisites: CF 120 or PY 120 with minimum grade of C; ED 280 with minimum grade of B; LI 243; Admission to Teacher Education program.,X,This course develops knowledge and skills in emergent and early literacy instruction.
5,EL317,-,Pro Edu - Elm - EL317,Pro Edu - Exp - EL317,?,X,,Literacy Methods for Elementary Teachers,3,Corequisites: EL 314; EL 316. Prerequisites: PY 120 or CF 120; ED 280; LI 243; and admission to Teacher Education Program. (3),X,This course develops knowledge and skills in methods of teaching literacy and lesson plan design.
5,EX302,-,X,Pro Edu - Exp - EX302,?,X,,Language Development of Children with Exceptionalities,3,Prerequisites: Admission into the Teacher Education Program; EX 311 or EX 390.,X,Emphasizing typical and atypical language acquisition and instructional strategies/technologies for students with with Exceptional Learning Needs.
5,EX304,-,X,Pro Edu - Exp - EX304,?,X,,Classroom & Behavior Management,3,Prerequisites: Admission into the Teacher Prep Program; EX 311. Corequisite: EX 302.,X,"Theoretical background and rationale for managing student behavior. Emphasizes the elements of primary, secondary, and tertiary interventions."
6,CE364,-,X,Pro Edu - Exp - CE364,?,X,,Methods of Teaching Math/Science/Social Studies in EC & EE,2,Co-requisites: CE 330; CE 365; CE 366. Prerequisite: CE 370; UI 308; Admission to the Teacher Education Program.,X,"Research based strategies for implementation of integrated Math, Science, Social Studies curriculum in ECE/Elem. Ed."
6,CE365,-,X,Pro Edu - Exp - CE365,?,X,,Observation/Assessment/Data Analysis in Early Childhood,3,Corequisites: CE 330; CE 364; CE 366. Prerequisites: Admission to the Teacher Education Program. (3),X,"Study of observational assessment methods, standardized testing, and the application of data to design instruction to support development and learning"
6,CE366,-,X,Pro Edu - Exp - CE366,?,X,,Curriculum/Theory/Program Management in Early Childhood,2,Co-requisites: CE 330; CE 364; CE 365. Prerequisites: CF 124; CF 213; CF 233; Admission to the Teacher Education Program. (2).,X,"Foundational principles in ECE, including learning theories, developmentally appropriate principles, curriculum planning, and program management."
6,CE368,-,X,Pro Edu - Exp - CE368,?,X,,Early Childhood Field Experience,2,Corequisite: CE 330; CE 364; CE 365; CE 366. Prerequisites: CF 285; Admission to the Teacher Education Program. (2),X,"Integration of appropriately designed field experiences in a Pre-K setting with early childhood course work, 75 hours in the field"
6,EX312,-,X,Pro Edu - Exp - EX312,?,X,,Diagnosis and Remediation of Math Difficulties,3,Prerequisites: Admission to the Teacher Education Program; EX 311 or EX 390; MA 228. (3).,X,Provides knowledge in use of diagnostic/prescriptive approach involving research-supported teaching/learning strategies when providing mathematics instruction to students with mild/moderate disabilities.
6,EX317,-,X,Pro Edu - Exp - EX317,?,X,,Assessment and Techniques of Teaching Children with Exceptionalities,3,Prerequisites: Admission to the Teacher Education Program; EX 311. (3).,X,Introduction/application of assessment/evaluation processes and application of information in the development of Individualized Education Programs.
6,EX373,-,X,Pro Edu - Exp - EX373,?,X,,Strategies and Techniques with a Learning Theory Base for Teaching Mild/Moderate Cross-Categorical,3,Prerequisites: EX 311; Admission to the Teacher Education Program.,X,"Strategies/techniques for teaching students with mild/moderate disabilities K-12 cross-categorical settings emphasizing educational learning theory based academic, perceptual and cognitive skills."
7,ED506,-,Pro Edu - Elm - ED506,Pro Edu - Exp - ED506,?,X,,Education Law and Society,3,X,X,A study of the social and legal issues that influence public K-12 education.
7,EL354,-,Pro Edu - Elm - EL354,Pro Edu - Exp - EL354,?,X,,Meeting the Needs of Struggling Readers,3,Prerequisites: EL 316; EL 317; EL 355. (3).,X,"Administering, analyzing, and interpreting literacy assessments to plan and implement appropriate literacy instruction to benefit the struggling reader."
7,EL355,-,Pro Edu - Elm - EL355,Pro Edu - Exp - EL355,?,X,,Content & Disciplinary Literacy,3,Prerequisites: EL 314; EL 316; EL 317. (3).,X,"Teaching literacy skills in various disciplines and content areas (listening, speaking, viewing, and visual representing) leading to enhanced student outcomes."
7,EX409,-,X,Pro Edu - Exp - EX409,?,X,,Advanced Field Experience in the Education of Students with Exceptionalities in Elementary Settings,3,Prerequisites: EX 302; EX 304; EX 305; EX 311; EX 312; EX 317; EX 373. Co-requisites: EL 354; EL 420;,X,Integration of appropriately designed field experiences commensurate with Education of Children with Exceptionalities Teacher Preparation Program coursework in elementary education
7,EX507,-,X,Pro Edu - Exp - EX507,?,X,,Families and the Child with Exceptionalities,3,Prerequisites: Admission to Teacher Education program; EX 311; or consent of instructor. (3).,X,"Emphasizes the teacher of children with exceptionalities partnering with families. Stresses collaborating with families, and strategies for accessing community resources."
8,EF400,WHAT IS  SECONDARY BLOCKS III?,Pro Edu - Elm - EF400,Pro Edu - Exp - EF400,?,X,,Student Teaching Seminar,1,A seminar connecting student teaching and current educational issues in American schooling.,X,Prerequisite: Secondary Blocks III. Corequisite: CE 480 or EL 480 or EX 480 or SE 465. (1).
8,EX480,-,X,Pro Edu - Exp - EX480,?,X,,Exceptional Child Education Student Teaching,12,"Corequisite: EF400. Prerequisites: Completion of all University Studies, content discipline, and professional education courses; Passing score on the required content exams;",X,"Clinical experience requiring a demonstration of content knowledge, differentiated instruction, curriculum implementation, critical thinking, classroom management, communication, assessments, professionalism and collaboration."
,?,-,?,?,?,---,,?,3,?,?,Choose 9 credit hours from two disciplines. All courses in this category are 3 credit hours. - **MU275-398 Ensembles are each three 1 hour courses for a combined 3 hours. codes that are considered the same discipline: 1) CN FR GN & SN; 2) EH & WH; 3) MH MM & MU - https://semo.edu/about/accreditation/general-education/
,?,-,?,?,?,---,,?,3,?,?,Choose 9 credit hours from two disciplines. All courses in this category are 3 credit hours. - **MU275-398 Ensembles are each three 1 hour courses for a combined 3 hours. codes that are considered the same discipline: 1) CN FR GN & SN; 2) EH & WH; 3) MH MM & MU - https://semo.edu/about/accreditation/general-education/
,EL310,?,Pro Edu - Elm - EL310,X,?,X,,Pedagogy â€“ Elementary Instructional Strategies / Models,3,Corequisite: EL 360. Prerequisite: Admission to the Teacher Education Program. (3).,X,Develops pedagogical knowledge of instructional models and teaching strategies integration into instruction at the elementary school level
,?,FOUND INCONSISTENCY! - See Sources tab for explination,?,?,?,Gen Ed - Humanities and Fine Arts C,,?,3,?,?,Choose 9 credit hours from two disciplines. All courses in this category are 3 credit hours. - **MU275-398 Ensembles are each three 1 hour courses for a combined 3 hours. codes that are considered the same discipline: 1) CN FR GN & SN; 2) EH & WH; 3) MH MM & MU - https://semo.edu/about/accreditation/general-education/
,?,-,?,?,?,---,,?,3,?,?,Choose 5-6 credit hours to complete a minimum of 42 General Education credit hours. Extra credits earned in other categories apply to additional requirements - https://semo.edu/about/accreditation/general-education/
,?,-,?,?,Art Minor - AH110 OR AR112,?,,?,3,?,?,AH110 Art History Survey I (OR) AR112 Perspectives in Art (3) - https://semo.edu/academics/programs/arts-media/art-design/art-art-history-minor.html?_gl=1*rufrdc*_gcl_au*OTc3MDQxMTM3LjE3MTAwOTE4Nzg.*_ga*MjAxODkzMTA4OS4xNzEwMDkxODc5*_ga_FTRE1LJHEK*MTcxMDExNzQ4OC40LjEuMTcxMDExNzY2Ny40Ny4wLjA.
,EL340,?,Pro Edu - Elm - EL340,X,?,X,,Classroom Management,3,Corequisites: EL 314; EL 316; EL 317. Prerequisite: Admission to Teacher Education Program. (3).,X,This course develops knowledge and skills in supporting a positive classroom climate and social emotional learning for children and adolescents.
,EL350,?,Pro Edu - Elm - EL350,X,?,X,,Content Field Experience,3,Corequisite: EL 360; EL 355. Prerequisite: EL 314. (3).,X,"This course provides field experience for the math, science, health and social studies teaching methods course."
,?,-,?,?,Art Minor - Lower Division A,?,,?,3,?,?,Choose 6 hrs from list in https://semo.edu/academics/programs/arts-media/art-design/art-art-history-minor.html?_gl=1*rufrdc*_gcl_au*OTc3MDQxMTM3LjE3MTAwOTE4Nzg.*_ga*MjAxODkzMTA4OS4xNzEwMDkxODc5*_ga_FTRE1LJHEK*MTcxMDExNzQ4OC40LjEuMTcxMDExNzY2Ny40Ny4wLjA.
,?,-,?,?,Art Minor - Lower Division B,?,,?,3,?,?,Choose 6 hrs from list in https://semo.edu/academics/programs/arts-media/art-design/art-art-history-minor.html?_gl=1*rufrdc*_gcl_au*OTc3MDQxMTM3LjE3MTAwOTE4Nzg.*_ga*MjAxODkzMTA4OS4xNzEwMDkxODc5*_ga_FTRE1LJHEK*MTcxMDExNzQ4OC40LjEuMTcxMDExNzY2Ny40Ny4wLjA.
,EL360,?,Pro Edu - Elm - EL360,X,?,X,,"Integrated Math, Science, Social Sciences, Health Instruction",3,"Prerequisites: Content courses in math, science, health and social studies; EL 314; EL 316; EL 317. Co-requisite: EL 355 (3).",X,"This course covers elementary mathematics, science, health, and social studies instructional methods. Some concepts will be integrated."
,EL410,?,Pro Edu - Elm - EL410,X,?,X,,Differentiated Instruction,3,Corequisite: EL 430. Prerequisites: EL 316; EL 317; EL 360 or CE 364; EX 390. (3).,X,This course provides teacher candidates with skills to increase students' success in the classroom that meets diverse and individual needs.
,EL420,?,Pro Edu - Elm - EL420,X,?,X,,Assessment & Data Analysis,3,Prerequisites: EL 316; EL 317; EL 360. Corequisites: EL 430 or EX 409; EL 354. (3).,X,This course is a practical application of the use of data to design instruction and improve learning.
,EL430,?,Pro Edu - Elm - EL430,X,?,X,,Advanced Field Experience,3,"Corequisite: EL 410, EL 354, or CE 340. Prerequisites: EL 314; EL 350 or CE 364.",X,"Field experience for implementing advanced competencies: differentiation, using assessment data, addressing diversity developing collaborations, managing classrooms and professional development. Corequisite: EL 410, EL 354, or CE 340. Prerequisites: EL 314;"
,EL480,?,Pro Edu - Elm - EL480,X,?,X,,Elementary Education Student Teaching,12,"Corequisite: EF 400. Prerequisites: Completion of all University Studies, content discipline, and professional education courses; Passing score on the Elementary Education Content Exam;",X,"Clinical experience requiring a demonstration of content knowledge, differentiated instruction, curriculum implementation, critical thinking, classroom management, communication, assessments, professionalism and collaboration."
,?,!!! TODO - Use Gen Ed additional req extra class by requesting higher div of another class you took for Fine Arts? TODO,?,?,Art Minor - Upper Division A,?,,?,3,?,?,Choose 9 Hours of Upper Division AR or AH prefix courses (Related courses are encouraged.)
,?,-,?,?,Art Minor - Upper Division B,?,,?,3,?,?,Choose 9 Hours of Upper Division AR or AH prefix courses (Related courses are encouraged.)
,?,-,?,?,Art Minor - Upper Division C,?,,?,3,?,?,Choose 9 Hours of Upper Division AR or AH prefix courses (Related courses are encouraged.)
,,,,,,,,,,,,
,EX390,?,Pro Edu - Elm - EX390,X,?,X,,Psychology of the Exceptional Child,3,Prerequisite: 60 credit hours or consent of instructor. (3).,X,"Addresses characteristics and education of children with exceptionalities, including all categorical disabilities recognized by IDEA and the gifted."
,?,?,Pro Edu - Elm - Elective A,X,?,?,,?,3,?,X,?
,?,?,Pro Edu - Elm - Elective B,X,?,?,,?,3,?,X,?
,?,?,Pro Edu - Elm - Elective C,X,?,?,,?,3,?,X,?
